sample,x,y,z,Radii,ToothNr,ToothSide,ToothClass,Jawbone,mass_mean,contamination_mean,PMD_reads_mean,yield_mean,anterior_taxa,posterior_taxa,other_surfaces_taxa,interproximal_taxa,low_mass_taxa,high_mass_taxa
39,309,509,0,12,35,O,Premolar,Mandibula,,0.006951474,,,,,,,,
40,306,465,0,12,36,L,Molar,Mandibula,1.8,0.00487769,1.67E-05,12.77777778,0.055481863,0.001422191,0.044147047,0.009126967,0.018368732,0.076906267
41,354,439,0,12,37,B,Molar,Mandibula,16,0.007104491,6.25E-06,13.85714286,0.1700573,0,0.038235872,0.007738897,0.004210614,0.100126019
42,322,428,0,12,37,L,Molar,Mandibula,2,0.000794225,8.03E-06,24,0.007666638,0.009942385,0.049079813,0.027450328,0.148141095,0.00138874
43,337,434,0,12,37,O,Molar,Mandibula,,0.006438898,,,,,,,,
44,354,380,0,12,38,I,Molar,Mandibula,1.6,0.001776311,1.43E-05,8.8125,0.007773684,0.01009693,0.026762285,0.043890439,0.184950603,0.001221787
45,336,391,0,12,38,L,Molar,Mandibula,2.6,0.000949954,6.29E-06,24.16,0.007316371,0.019292679,0.022936549,0.042013444,0.126993549,0.0025461
46,225,587,0,12,41,B,Incisor,Mandibula,2.3,0.001670079,1.08E-05,17.97058824,0.01187221,0.001676787,0.117084285,0.001359296,0.134980614,0.010587262
47,236,577,0,12,41,I,Incisor,Mandibula,3,0.007184967,1.59E-05,19.05555556,0.185843938,0.000623438,0.020987337,0.01268618,0.01411904,0.260952079
48,229,558,0,12,41,L,Incisor,Mandibula,2.9,0.00354824,1.99E-05,34.16194332,0.146558908,0,0.04466038,0.019179324,0.036990176,0.137059067
49,202,579,0,12,42,B,Incisor,Mandibula,1.8,0.002831737,1.23E-05,20.24761905,0.056017871,0.000633158,0.094479359,0.008646184,0.055963501,0.054601899
50,212,553,0,12,42,L,Incisor,Mandibula,6.366666667,0.002715478,1.03E-05,21.6676722,0.064359952,0.001448863,0.069408676,0.008780119,0.075965598,0.068310933
51,176,571,0,12,43,B,Canine,Mandibula,1.2,0.001106297,4.73E-06,10.58333333,0.006119044,0.000339794,0.14295417,0.000860127,0.216794635,0.003858747
52,199,545,0,12,43,L,Canine,Mandibula,11.35,0.005511854,6.08E-06,18.62727273,0.037866189,0.006786453,0.045631498,0.028450461,0.062307054,0.016027674
53,185,524,0,12,44,L,Premolar,Mandibula,3.666666667,0.004277269,1.31E-05,18.17738791,0.065472384,0.002549933,0.064370499,0.013666529,0.06372724,0.070482904
54,175,503,0,12,45,L,Premolar,Mandibula,6.1,0.003735746,4.62E-06,12.04347826,0.007932935,0.016757164,0.066965897,0.013798455,0.154683787,0.002428881
55,135,484,0,12,46,B,Molar,Mandibula,5.5,0.000727087,1.73E-05,15.63636364,0.015862611,0.003151758,0.114932832,0.00434094,0.095571891,0.00642439
56,169,465,0,12,46,L,Molar,Mandibula,2.5,0.001863623,2.63E-05,7.2,0.015799912,0.015552068,0.128767159,0.018293603,0.09777251,0.007306765
57,152,430,0,12,47,L,Molar,Mandibula,2.066666667,0.006356137,1.37E-05,15.93359915,0.026164606,0.009497198,0.08090752,0.021906855,0.098179095,0.018092379
58,117,385,0,12,48,I,Molar,Mandibula,3.1,0.004227734,5.76E-06,9.333333333,0.017735922,0.07648136,0.028694109,0.222482999,0.059652281,0.002719006
